name,price,rating,image_url,image_path,source,category_name,product_url
"Furniture Store Modern library, height 85 cm - width 64 cm - depth 30 cm, from Furniture Store.","3,185",0.0,https://f.nooncdn.com/p/pzsku/Z856334997EBC02AAAB72Z/45/1748517203/50b993f3-d6a8-444d-b1e4-4a0b9fd3fc97.jpg?width=800,product_images/Furniture Store Modern library height 85 cm  width.jpg,Noon,home furniture,https://www.noon.com/egypt-en/modern-library-height-85-cm-width-64-cm-depth-30-cm-from-furniture-store/Z856334997EBC02AAAB72Z/p/?o=z856334997ebc02aaab72z-1
"Furniture Store Modern library, height 90 cm - width 100 cm - depth 24 cm, from Furniture Store.","2,792",0.0,https://f.nooncdn.com/p/pzsku/ZBECCA8D006C5293943BEZ/45/_/1727193964/8fe4a336-674a-4354-9e6d-012391e34e63.jpg?width=800,product_images/Furniture Store Modern library height 90 cm  width.jpg,Noon,home furniture,https://www.noon.com/egypt-en/modern-library-height-90-cm-width-100-cm-depth-24-cm-from-furniture-store/ZBECCA8D006C5293943BEZ/p/?o=zbecca8d006c5293943bez-1
"Furniture Store Modern library, height 60 cm - width 90 cm - depth 26 cm, from Furniture Store.","2,394",0.0,https://f.nooncdn.com/p/pzsku/Z135D76274E08EF867FE3Z/45/_/1727193925/ecd00091-ba34-4dd9-a2e4-6fd8938e2183.jpg?width=800,product_images/Furniture Store Modern library height 60 cm  width.jpg,Noon,home furniture,https://www.noon.com/egypt-en/modern-library-height-60-cm-width-90-cm-depth-26-cm-from-furniture-store/Z135D76274E08EF867FE3Z/p/?o=z135d76274e08ef867fe3z-1
Razz Gallery The modern living room table combines elegance and functionality in one distinctive design. It is made of high-quality materials to provide long-lasting durability and a look that reflects your refined taste in detail.,"2,250",0.0,No Image,No Image,Noon,home furniture,https://www.noon.com/egypt-en/the-modern-living-room-table-combines-elegance-and-functionality-in-one-distinctive-design-it-is-made-of-high-quality-materials-to-provide-long-lasting-durability-and-a-look-that-reflects-your-refined-taste-in-detail/ZC1FBA5F5FE178C6FF9FFZ/p/?o=e87cf20fbb25481f
MODERN HOME Wood Studying Desk,"1,104",3.69,No Image,No Image,Noon,home furniture,https://www.noon.com/egypt-en/wood-studying-desk/Z09E4C3A775ECDF99A45FZ/p/?o=z09e4c3a775ecdf99a45fz-1
راز جالري مجموعة من الطاولات البيضاء البيضاوية المكوّنة من قطعتين متناسقتين تجمع بين العملية والفخامة في تصميم واحد أنيق.,"1,999",0.0,No Image,No Image,Noon,home furniture,https://www.noon.com/egypt-en/product/Z4B3B9A4D8EBC638ACC3CZ/p/?o=e8abdd08897eacfd
"Furniture Store Modern MDF drawer unit - Height 65 cm - Width 36 cm - Depth 36 cm, from Furniture Store.","3,399",0.0,No Image,No Image,Noon,home furniture,https://www.noon.com/egypt-en/modern-mdf-drawer-unit-height-65-cm-width-36-cm-depth-36-cm-from-furniture-store/Z897CF7EBE8380340BFEBZ/p/?o=c4cd12f50e0f524c
MODERN HOME Modern Writing Desk – Clean Design for Work or Study.,"1,055",2.79,No Image,No Image,Noon,home furniture,https://www.noon.com/egypt-en/modern-writing-desk-clean-design-for-work-or-study/Z5DC473AB26F9E4761B5AZ/p/?o=z5dc473ab26f9e4761b5az-1
Razz Gallery This stylish 3-piece matching coffee table set combines modern flair with smart function.,"2,445",0.0,No Image,No Image,Noon,home furniture,https://www.noon.com/egypt-en/this-stylish-3-piece-matching-coffee-table-set-combines-modern-flair-with-smart-function/ZDF8AF12B6F0D9CCF3DDFZ/p/?o=c7a9e042a66971ed
"MODERN HOME Large 3-Drawer Bedside Cabinet in Black, Chest of Drawers with Metal Handles and Anti-Bowing Support, Riano Bedroom Furniture for Ample Storage, Modern Nightstand","1,344",1.54,No Image,No Image,Noon,home furniture,https://www.noon.com/egypt-en/large-3-drawer-bedside-cabinet-in-black-chest-of-drawers-with-metal-handles-and-anti-bowing-support-riano-bedroom-furniture-for-ample-storage-modern-nightstand/Z6B2208EB93DAE74025D0Z/p/?o=f37aac715ab78c9b
