Title,Price,Rating,Brand
ASUS ROG Strix SCAR 16 G635LR-AI321W Laptop with 16 Inch WQXGA / Intel Core Ultra 9 275HX / 32 Gigabyte / 1 Terabyte SSD / GeForce RTX 5070 Ti / Black,"EGP
168,999",,
"HP Renewed HP ProBook 650 G2 Laptop – Intel Core i5‑6200U, 8GB RAM, 256GB SSD, Intel HD Graphics, 15.6"" HD Display, Windows 10 Pro, Grade A - Silver","EGP
8,999
9,474
5% OFF",4.5,
ASUS Vivobook S14 S3407QA-SF067W Laptop with 14 Inch Full HD / Qualcomm Snapdragon X X1-26-100 / 16 Gigabyte / 512 Gigabyte SSD / Qualcomm Adreno X1-45 GPU / Cool Silver,"EGP
40,905
42,999",,
Hp Fq5043Ne I7-1255U-8-512-W11 Laptop With 15.6 Inch Core I7 8 Gb Ram 512 Gb Ssd Intel Xe Graphics Windows 11 English/Arabic Natural Silver,"EGP
27,573",2.5,
"ASUS X1407QA-LY045W Vivobook Laptop with 14-Inch WUXGA Display,Snapdragon X1-26-100 Processor/16GB RAM/512GB SSD/Qualcomm Adreno GPU/Windows 11 English Platinum Gold","EGP
32,499
32,570",,
"DELL Vostro 3515 Laptop With 15.6-inch Full HD Display, Ryzen 3 3250U Processor/4GB RAM/128GB SSD/DOS(Without Windows)/AMD Radeon R5/ English/Arabic Black","EGP
19,900
25,000
20% OFF",2.3,
Apple MacBook Air MRXW3 | 13 Inch Display | Apple M3 Chip | 8-Core CPU and 10-Core GPU | 8GB RAM | 512GB SSD | macOS | English Keyboard | International Version | Midnight,"EGP
51,999
69,999
25% OFF",4.7,
"HP ProBook 640 G5 Laptop, Intel Core i5-8365U, 256GB SSD, 8GB RAM, Intel UHD Graphics, 14 Inch FHD Display, Windows 10 Pro - Silver (Renewed), Grade A, 6 Months Warranty Silver","EGP
11,555",,
"ASUS Zenbook 14 Laptop With 14-Inch OLED Display, Core i5-1240P Processor/8GB RAM/51GB SSD/Intel Iris XE Graphics/Windows 11 Home English/Arabic Ponder Blue","EGP
42,000
46,000
8% OFF",5.0,
"ASUS (Upgraded Version) TUF A14 Gaming Laptop With 14-Inch Display,FA401WU-RG037W Ryzen AI R9 HX 370Processor/16GB RAM/1TB SSD/Nvidia Geforce RTX 4050 Graphics Card/Windows 11 - / Jaeger English/Arabic Jaeger Grey","EGP
67,899",5.0,
"Apple MacBook Air MC7X4 With 13.6 Inch Display, M2 Chip 8-Core CPU 8-Core GPU | 16GB RAM | 256GB SSD | macOS | English/Arabic Midnight","EGP
47,700",4.6,
"Lenovo Laptop Gaming Lenovo LOQ 15IRX9, Intel Core i5‑13450HX, 16GB DDR5 RAM, 512GB SSD, RTX 3050 6GB, 15.6‑inch FHD 144Hz, DOS, Luna Grey (Arabic Keyboard) Luna Grey","EGP
47,979",,
Apple MacBook Pro MDE14 | 14 Inch Display | Apple M5 Chip | 10-Core CPU And 10-Core GPU | 16GB RAM | 1TB SSD | macOS | English Keyboard | International Version | English Space Black,"EGP
149,999",4.5,
"Lenovo (Upgraded Version) Lenovo Legion Pro 7 16IAX10H Gaming Laptop Intel Core Ultra 9 275HX, 64GB RAM, 2TB SSD, RTX 5080 16GB, 16-inch WQXGA 240Hz,100% sRGB with G-Sync, Win11 English/Arabic black English/Arabic black","EGP
202,777
236,999
14% OFF",,
"MSI Katana 15 HX B14WFK (Black) Gaming Laptop, 15.6"" QHD IPS 165Hz Display, Intel Core i7-14650H, 16 GB RAM, 512 GB SSD, NVIDIA RTX 5060 8GB, Win11 Home, Black english black","EGP
69,500",,
Apple MacBook Air MC7C4 | 15 Inch Display | Apple M4 Chip | 10-Core CPU 10-Core GPU | 16GB RAM | 512GB SSD | macOS | English Keyboard | International Version | Sky Blue,"EGP
85,033",4.6,
ASUS TUF Gaming A16 FA608UH-RV007W Laptop with 16 Inch WUXGA / AMD Ryzen 7 260 / 16 Gigabyte / 512 Gigabyte SSD / GeForce RTX 5050 / Jaeger Grey,"EGP
63,099",,
Lenovo LAPTOP LENOVO LEGION 5 15IAX10 Intel Core Ultra 9 275HX RAM (2*16 ) 32G DDR5 5600 HDD 1T SSD M2 NVME VGA NVIDIA GeForce RTX 5070 8GB GDDR7 15.1 WQXGA (2560x1600) OLED 165 HZ DOS 2 YEAR WARRENTY 83F00072ED English/Arabic Eclipse Black,"EGP
107,100",,
"Lenovo IDEAPAD 5 2 IN 1 -83DT008YED-Intel Core 7 150U -16GB Soldered LPDDR5x 5200-512GB SSD M.2-Integrated Intel Graphics- Windows 11 Home-14"" WUXGA English/Arabic Luna Grey","EGP
47,999",5.0,
Apple MacBook Pro MDE44 | 14 Inch Display | Apple M5 Chip | 10-Core CPU And 10-Core GPU | 16GB RAM | 512GB SSD | macOS | English Keyboard | International Version | English Silver,"EGP
98,777",4.5,
"GIGABYTE Gaming A16 CVH (Upgraded Version) Laptop With 16 Inch WUXGA (1920x1200) Display,Intel Core i7-13620H Processor/16GB RAM DDR5/1TB SSD/8GB Nvidia GeForce RTX 5060 Graphics/Windows 11/ English/Arabic Black Steel","EGP
68,999
71,999",5.0,
ASUS (Upgraded Version) TP3402VA-LZ065W Vivobook Flip Laptop with 14 inch WUXGA / i5-13420H / 16 GB RAM / 512 GB SSD / Intel® UHD Graphics / Win11 Cool English Cool Silver,"EGP
39,999
40,999",5.0,
Apple MacBook Air MC7A4 | 15 Inch Display | Apple M4 Chip | 10-Core CPU 10-Core GPU | 16GB RAM | 256GB SSD | macOS | English Keyboard | Sky Blue,"EGP
69,853",4.6,
"Lenovo IDEAPAD 5 2 IN 1 -83DT008YED-Intel Core 7 150U -16GB Soldered LPDDR5x 5200-512GB SSD M.2-Integrated Intel Graphics- Windows 11 Home-14"" WUXGA English/Arabic Luna Grey","EGP
47,999",5.0,
MSI LAPTOP MSI Katana 15 HX B14WEK Black Intel Core i7-14650HX RAM 16G DDR5 8GB*2 SSD 512 GB NVMe VGA NVIDIA GeForce RTX 5050 GDDR7 8GB 15.6 QHD ( 2560*1440 ) 165Hz Windows 11 Home A ( 9S7-1587C1-832 ) english_arabic,"EGP
61,488",,
Lenovo LAPTOP LENOVO LOQ ESSENTIAL 15IRX11 CPU I7 13650 HX RAM 16G DDR5 4800 HDD 512 SSD M2 NVME VGA NIVIDIA RTX5050 8G DDR7 15.6 FHD 144HZ WIN 11 HOME 2 YEARS WARRANTY 83SC001NED English/Arabic luna grey,"EGP
52,950",5.0,
"DELL (Upgraded Version) Latitude 5430 Laptop With 14-Inch FHD Display, Core i7-1255U Processor/32GB RAM/512GB SSD/Intel Iris XE Graphics/Windows 11 Pro / English/Arabic Silver","EGP
106,000",2.8,
"DELL Latitude 5410 Business And Professional (Upgraded Version) Laptop With 14-Inch Full HD Display, Core i7-10610U Processer/16GB RAM/512GB SSD/Intel UHD Graphics 620/Windows 10 Pro English Silver","EGP
29,000",2.3,
MSI LAPTOP MSI Cyborg 15 A2RUDX CPU Core 7 240H RAM16G DDR5 8GB*2 HDD 512GB NVMe PCIe SSD Gen4x4 VGA RTX 3050 6GB GDDR6 6GB 15.6 FHD (1920*1080) 144Hz Blue Backlit Gaming Keyboard Windows 11Home A 2 Years Warranty ( 9S7-15K111-2081) english_arabic Translucent Black,"EGP
50,800",,
Lenovo LAPTOP LENOVO LOQ 15AHP10 AMD RYZEN 7 250 RAM 16G DDR5 5600 512 SSD M2 NVME VGA NVIDIA RTX 5060 8G DDR7 15.6 FHD 144HZ 2 YEARS WARRENTY 83JG0095ED English/Arabic luna grey,"EGP
60,350",,
Lenovo LAPTOP LENOVO Legion 5 15IAX10 CPU Ultra 7 255HX RAM 32 G 2x 16GB DDR5-5600 HDD 1TB SSD M.2 NVME VGA NVIDIA GeForce RTX 5070 8GB GDDR7 15.1 WQXGA (2560x1600) OLED 165Hz 2 YEARS WARRENTY 83F00080ED English/Arabic Eclipse Black,"EGP
108,450",,
"HP ZBook Studio 15 G5 Laptop, Intel Core i7-8750H, 512GB SSD, 16GB RAM, NVIDIA Quadro P1000 4GB, 15.6 Inch FHD Display, Windows 10 Pro - Silver (Renewed), Grade A, 6 Months Warranty Silver","EGP
26,754",5.0,
"HP EliteBook 845 G8 | AMD Ryzen 5 Pro | 14"" inch | RAM 16GB | Hardisk 256GB SSD Silver","EGP
17,500
19,000
7% OFF",4.2,
"DELL 2021 Newest Latitude 5520 Business (Upgraded Version) Laptop With 15.6-Inch Display, Core i5-1135G7 Processor/8GB RAM/256GB SSD/Integrated Graphics/Windows 10 Pro English Grey","EGP
25,000
29,000
13% OFF",5.0,
"HP (Upgraded Version) 840 G10 PC Wolf Pro Security Edition Laptop With 14-Inch WQXGA Display,Core i7 1335U Processor/32GB RAM/1TB SSD/Windows 11 Pro/819F9EA#ABV / English/Arabic silver","EGP
135,000",5.0,
"DELL (Upgraded Version) Latitude 3520 Notebook With 15.6-Inch FHD Display, Core i5-1135G7 Processor/16GB RAM/256GB SSD/Integrated Graphics/Windows 10 Pro English Black English Black","EGP
30,000",,
"MSI Katana 15 HX B14WFK (Black) Gaming Laptop, 15.6"" QHD IPS 165Hz Display, Intel Core i7-14650H, 16 GB RAM, 512 GB SSD, NVIDIA RTX 5060 8GB, Win11 Home, Black english black","EGP
69,500",,
"HP Renewed - Elitebook 745 G6 Laptop With 14-Inch Display,IPS Ryzen 5 Pro 3500U/8th Gen/8GB RAM/256GB SSD/Windows 10 Pro English/Arabic Silver","EGP
15,500",,
"DELL (Upgraded Version) Latitude 3520 Notebook 15.6-Inch Display, Core i5-1135G7 Processor/16GB RAM/1TB SSD//Integrated Graphics/Windows 10 Pro English Black English Black","EGP
32,000",,
"HP (2024) (Upgraded Version) Laptop With 15.6-Inch FHD Display, Core i5-1235U Processor/16GB RAM/512GB SSD/Intel Graphics/Windows 11 (International Version) English Silver","EGP
76,000",3.7,
"Lenovo ThinkPad E14 G6 Laptop With 14.0 Inch WUXGA (1920x1200) Display, Intel Core Ultra 5-125U Processor/ 8GB RAM DDR5/512GB SSD/Intel Arc Graphics/DOS(Without Windows)/ English/Arabic Black","EGP
45,990",,
"MSI Crosshair 16 HX AI D2XWGKG Gaming Laptop, Intel Core Ultra 7 255HX Processor, 16 Inch QHD+ Display, 1 TB SSD, 16 GB RAM DDR5, NVIDIA GeForce RTX 5070 8 GB Graphics, Win11, Cosmo Grey - 9S7-15P421-207 Cosmos Gray","EGP
97,999",,
"Apple MacBook Air MGN63 With 13 Inch Display, M1 Chip 8-Core CPU and 7-Core GPU | 8GB RAM | 256GB SSD | macOS | English/Arabic Space Grey","EGP
38,888
52,499
25% OFF",4.6,
"HP (Upgraded Version) Pavilion x360 2 in 1 Laptop With 14-Inch Display, Core i5 1335U Processor/8GB RAM/512GB SSD/Intel Iris Xe Graphics/Windows 11 Home / Natural English/Arabic Natural silver","EGP
34,494",4.0,
Lenovo Ideapad Laptop With 15.6 Inch FHD /Ryzen 7 5800H /16 GB Ram /512 GB SSD/ 6 GB Geforce Rtx 3060 /Windows 11 /English Shadow Black With Casual Leather Laptop Backpack Black English Shadow Black,"EGP
58,470",,
"Microsoft Surface Laptop GO 12.4"" 10th Gen Ci5-16G-256GB - Win 10 Pro - Platinum English Silver","EGP
24,444",3.6,
"MSI Vector 16 HX AI A2XWHG - 9S7-15M352-070 Laptop , Intel Core Ultra 9 275HX , 1 TBSSD , 32 GB RAM , NVIDIA GeForce RTX 5070 TI , Windows 11 - Cosmos Grey arabic Cosmos Gray","EGP
132,500",,
"MSI Crosshair 16 HX AI D2XWFKG (NVIDIA® GeForce RTX™ 5060 Laptop GPU, GDDR7 8GB) Cosmos Gray","EGP
91,199",,
DELL Latitude 5530 Notebook Laptop With 15.6 Inch FHD /Core I5-1235U/ 8 GB Ram /512 GB SSD /Intel Iris Xe /Windows 11 Pro/ English/Arabic Grey With Casual Leather Laptop Backpack Black English/Arabic Grey,"EGP
52,460",,
MSI VICTOR 16 HX AI A2XWHG Core Ultra 7 RTX 5070 TI 12GB 16GB RAM 1TB SSD QHD+240Hz 100% DCI-P3 WIN 11 Cosmos Gray,"EGP
109,499",,
DELL Latitude 5530 Notebook Laptop With 15.6 Inch FHD /Core I5-1235U/ 8 GB Ram /512 GB SSD /Intel Iris Xe /Windows 11 Pro/ English/Arabic Grey With HP Laptop Bags 1418 Backpack Black English/Arabic Grey,"EGP
51,790",,
"HP (Upgraded Version) 15-FD0005DX Laptop With 15.6-Inch Touchscreen Display, Core i5-1235U Processor/8GB RAM/512GB SSD/Intel Iris XE Graphics/Windows 11 Home S English Silver","EGP
78,500",3.8,
"HP (Upgraded Version) 15-FD0005DX Laptop With 15.6-Inch Touchscreen Display, Core i5-1235U Processor/16GB RAM/512GB SSD/Intel Iris XE Graphics/Window 11 Home S English Silver","EGP
86,000",3.8,
"DELL Latitude 5520 (Upgraded Version) Laptop With 15.6-Inch FHD Display, Core i5-1135G7 Processor/8GB RAM/512GB SSD/DOS(Without Windows)/Intel Iris Xe Graphics English/Arabic Black","EGP
28,000",4.0,
"HP (Upgraded Version) 15-FD0005DX Laptop With 15.6-Inch Touchscreen Display, Core i5-1235U Processor/16GB RAM/1TB SSD/Intel Iris XE Graphics/Windows 11 Home S English Silver","EGP
83,500",3.8,
"DELL Latitude 3550 (Upgraded Version) Laptop With 15.6-Inch Full HD(1920X1080) Display, Intel Core i5-1335U Processor/16GB RAM DDR5/1TB SSD/Intel Iris XE Graphics/Windows 11/ English/Arabic Black","EGP
69,600",,
