Category,Product_Name,Price_EGP,Rating,Source,Timestamp
HomeAppliances,Waffle Maker Machine - Mini Iron for Home Use,399.0,2.4,Amazon Egypt,2026-03-12 03:44
HomeAppliances,Home juicer exttractor juice cup capacity :0.8l residue cup capacity :0.8l black kd-200,3095.0,2.4,Amazon Egypt,2026-03-12 03:44
HomeAppliances,Household Appliances (Multifunctional Cordless Electric Citrus Juicer),815.0,2.2,Amazon Egypt,2026-03-12 03:44
HomeAppliances,"Metallic 2-Tier Microwave Organizer Rack for Kitchen Space Saving and Home Appliance Storage with Durable Rust-Resistant Frame, Perfect for Small and Large Kitchens",430.0,0.0,Amazon Egypt,2026-03-12 03:44
HomeAppliances,24h Mechanical Timer Switch 220V/16A for Lights/Heaters/Pools/Home Appliances,185.0,4.0,Amazon Egypt,2026-03-12 03:44
HomeAppliances,"Storage rack-a powerful versatile organizer with a U - shaped structure that provides integrated stability for home kitchens to store microwave, coffee maker, blender and large appliances on the kitch",578.0,2.0,Amazon Egypt,2026-03-12 03:44
HomeAppliances,Home juicer exttractor juice cup capacity :0.8l residue cup capacity :0.8l black kd-200,3095.0,2.4,Amazon Egypt,2026-03-12 03:44
HomeAppliances,Household Appliances (Electric Egg Boiler for Steam Cooker Boil Up to 7 Eggs),300.0,2.2,Amazon Egypt,2026-03-12 03:44
HomeAppliances,"MFGMF Egg Roll Maker, Stove Top Waffle Cone and Bowl Maker, Easy Flip Homemade Ice Cream Cone Iron Machine, Pancake Mold for Birthday Treat, Gift Giving, Entertaining Fun",999.0,1.0,Amazon Egypt,2026-03-12 03:44
HomeAppliances,Household Appliances (Multifunctional Cordless Electric Citrus Juicer),815.0,2.2,Amazon Egypt,2026-03-12 03:44
HomeAppliances,Waffle Maker Machine - Mini Iron for Home Use,399.0,2.4,Amazon Egypt,2026-03-12 03:44
HomeAppliances,"2-Tier Metal Microwave Organizer for Home Appliances, Spices, Space Saving, Durable Rustproof Construction for a Tidy and Modern Kitchen",455.0,1.0,Amazon Egypt,2026-03-12 03:44
HomeAppliances,Microwave Dish Rotator Motor Home Appliance Synchronizer Motor,300.0,0.0,Amazon Egypt,2026-03-12 03:44
