asin,name,price_usd,price_egp,image_path,url
B0D8X4866C,"HP Essential 17 Laptop for Productivity & Daily Work, 17.3"" FHD Display, Intel Core i7-1355U Performance, 32GB RAM, 1TB SSD, Webcam, USB-C, HDMI, Wi-Fi 6, Windows 11 Home, Silver",47269.0,2484458.64,global_to_egp_images/B0D8X4866C.jpg,https://www.amazon.com/dp/B0D8X4866C
B0DB5KVMCS,"Lenovo ThinkPad T14 Gen 6 Business Laptop (14"" FHD+, Intel 12-Core Ultra 5 225U (> Ultra 7 155U), 32GB DDR5 RAM, 1TB SSD), Backlit, Fingerprint Reader, 5MP Webcam, Thunderbolt 4, Win 11 Pro, AI PC",N/A,N/A,global_to_egp_images/B0DB5KVMCS.jpg,https://www.amazon.com/dp/B0DB5KVMCS
B0G771XYNV,"HP Pavilion 15.6"" Touchscreen Laptop • 2026 Edition • AMD Ryzen 5 7520U • 8GB RAM • 256GB PCle SSD • Bluetooth • Copilot AI • Wi-Fi 6 • Windows 11 • Ready for School & Work",N/A,N/A,global_to_egp_images/B0G771XYNV.jpg,https://www.amazon.com/dp/B0G771XYNV
B0FD4XZ2C4,"Lenovo ThinkBook 16 G7 Business Laptop, 16” FHD+, AMD Ryzen 7 7735HS, 32GB DDR5, 1TB NVMe, WiFi 6E + BT, Backlit KB, Fingerprint Reader, HD Webcam, Win 11 Pro",65722.0,3454348.32,global_to_egp_images/B0FD4XZ2C4.jpg,https://www.amazon.com/dp/B0FD4XZ2C4
B0GS27L5F4,"Dell 15 Laptop Computer for Business and Student, Intel Processor (Beat i5-1145G7), 16GB DDR4 RAM, 512GB PCIe SSD, Vostro 3530 15.6"" 120Hz FHD, WiFi, Bluetooth, Type-C, HDMI, Webcam, Windows 11 Pro",N/A,N/A,global_to_egp_images/B0GS27L5F4.jpg,https://www.amazon.com/dp/B0GS27L5F4
B0B9RKBG7H,"Dell 16 Touchscreen Laptop for Business & Home Student, Intel Core 7 150U Processor, AI Copilot+ PC, 32GB DDR5 RAM, 1TB PCIe SSD, WiFi 6E, Fingerprint, Backlit KB, Office 365, Windows 11 Home",N/A,N/A,global_to_egp_images/B0B9RKBG7H.jpg,https://www.amazon.com/dp/B0B9RKBG7H
B0G54CTHCY,"Lenovo ThinkPad E14 Gen 7 AI Business Laptop 14"" FHD+ Display (AMD Ryzen 7 250 (Beat Ryzen 5 7535U), 16GB DDR5, 512GB SSD, Copilot, Backlit, Fingerprint, 5M RGB Webcam, Thunderbolt 4, Win11Pro), 2026",N/A,N/A,global_to_egp_images/B0G54CTHCY.jpg,https://www.amazon.com/dp/B0G54CTHCY
B0FLNTBHTQ,"ASUS ExpertBook PM3 14” Business Laptop, AMD Ryzen AI7 350 Processor, 32GB RAM, 1TB SSD, WiFi 7, Windows 11 Pro, Misty Grey, PM3406CKA-XS76",64672.0,3399160.32,global_to_egp_images/B0FLNTBHTQ.jpg,https://www.amazon.com/dp/B0FLNTBHTQ
B0FMXLDC3X,"ASUS Vivobook S16 AI PC Laptop | 16"" 2.8k OLED 120Hz | Intel Core Ultra 9 285H | 32GB RAM 1TB SSD | RGB Backlit for Creator Designer Business Professional Win11 Pro w/DLCA Accessory",N/A,N/A,global_to_egp_images/B0FMXLDC3X.jpg,https://www.amazon.com/dp/B0FMXLDC3X
B0GN1TTHW3,"NIMO 15.6"" IPS FHD-Business-Laptop, 8 Cores AMD Ryzen 7 Pro 6850U 32GB RAM 1TB SSD (Beat i7-1360P Up to 4.7GHz) Radeon 680M 100W Fast PD Backlit Keyboard for Content Creators & Student 2-Yr Warranty",N/A,N/A,global_to_egp_images/B0GN1TTHW3.jpg,https://www.amazon.com/dp/B0GN1TTHW3
