name,price,rating,image_url,image_path,category,source
"De'Longhi Dedica Coffee Machine, Barista Pump Espresso and Cappuccino Maker, Ground Coffee and ESE Pods can be used, Milk Frother for Latte Macchiato and more 1.1 L 1450 W EC685.M Silver/Black","9,199",4.3941,No Image,No Image,home appliances,Noon
"De'Longhi Dedica Pump Espresso Manual Coffee Machine | Cappuccino, Latte Macchiato With Milk Frother | Thermo Block Heating System For Accurate Temperature | Easy To Clean 1 L 1300 W EC685.BK Black","9,190",4.3698,No Image,No Image,home appliances,Noon
Oraimo CyberVac 270W Wireless Stick Vacuum Cleaner OSV-225A 270 W OSV-225A,"6,499",4.214,No Image,No Image,home appliances,Noon
Arzum Okka Rich Pro Plus Turkish Coffee Maker with Water Tank 1.3 L 700 W OK0038-05 Chrome,"6,735",4.4105,No Image,No Image,home appliances,Noon
"Philips Air Fryer 3.2L Rapid Air Technology , NA110/00 - Black 3.2 L 1300 W NA110/00 black","3,349",4.6164,No Image,No Image,home appliances,Noon
LG Top Loading Washing Machine LG Smart Inverter 11 kg T1164NEHGB Black,"17,699",4.022,No Image,No Image,home appliances,Noon
BOSCH Series 6 Air Fryer Black MAF671B0 7.2 L 1800 W MAF671B0 black/silver,"7,900",5.05,No Image,No Image,home appliances,Noon
"Tefal Silence Force Stand Fan with Remote Control, 16 Inch, 3 Speeds, VG4130EE Black","2,499",4.41,No Image,No Image,home appliances,Noon
BOSCH Vacuum Cleaner Bagless Series 4 Hepa Hygienic Filter 2000 W BGS21WPOW Black,"9,017",4.715,No Image,No Image,home appliances,Noon
LG Mh8265Dis - Smart Inverter Microwave With Grill 42 L 1200 W Mh8265Dis Black,"12,999",4.5476,No Image,No Image,home appliances,Noon
"Fresh Fan 240 volt 240 W Shabah Wall 18"" Red/Black","1,735",4.5266,No Image,No Image,home appliances,Noon
Fresh Electric Water Heater Relax 50 Liter EWH RELAX 50L Multicolour,"3,885",4.5671,No Image,No Image,home appliances,Noon
"KENWOOD Digital Air Fryer XXXL, With Max Crisp Function Recipe, Book Rapid Hot Air Circulation For Frying Grilling Broiling Roasting Baking And Toasting 7 L 1800 W HFP80.000BK Black","7,399",4.5763,No Image,No Image,home appliances,Noon
"KENWOOD Stand Mixer Kitchen Machine HOMEBAKE, K-Beater, Whisk, Dough Hook, Splash Guard, Variable Speed, Compact Design 5 L 1400 W KHH01.000SI Silver","9,055",4.3237,No Image,No Image,home appliances,Noon
Oraimo CyberVac 180W Wireless Stick Vacuum Cleaner OSV-102B 180 W OSV-102B,"4,669",5.07,No Image,No Image,home appliances,Noon
"KENWOOD Food Processor, 3L Bowl, 1.5L Blender, 11 Processing Tools, Multi Mill, Grinder, Juicer extractor, Whisk, Dough Maker, Citrus Juicer, Salad Maker 3 L 1000 W FDP65.880SI 1000W Silver","8,700",4.4268,No Image,No Image,home appliances,Noon
"Ariston Electric Water Heater, 50 Liters - RUBIS PRO 50 V EG-1 White","3,599",4.716,No Image,No Image,home appliances,Noon
"Carrier XCool Inverter 1.5 HP Split Air Conditioner, Cooling & Heating, R32, QHEFT12DN8-708F","32,455",0.0,No Image,No Image,home appliances,Noon
Stanvi 2×1 Stick & Handheld Vacuum Cleaner,"6,499",4.756,No Image,No Image,home appliances,Noon
KENWOOD Stainless Steel Electric Kettle - 1.7 L 2200 W ZJM01 / ZJM01.A0BK Silver,"2,057",4.6213,No Image,No Image,home appliances,Noon
KENWOOD Ceramic Steam Iron 350 ml 2600 W STP70.000WG Green,"1,691",4.5258,No Image,No Image,home appliances,Noon
HOHO Stainless Steel Electric Kettle 1.5 L 1500 W hoho1.5 Multicolour,500,4.21,No Image,No Image,home appliances,Noon
"Ariston AURES Multi Electric Instantaneous Water Heater 9.5kW, Multi-Point, 3195258 - Multicolor","10,599",4.344,No Image,No Image,home appliances,Noon
"Unionaire No Frost Refrigerator, 330 Liters, 2 Doors, Digital Touch Screen, URN-400LBLBA","14,999",3.619,No Image,No Image,home appliances,Noon
"Toshiba Refrigerator Fixed Speed Pure BIO Filter, Air FALL Cooling, Voltage Stability, 411L - GR-RT559WE-DMN(49) Grey","26,999",4.456,No Image,No Image,home appliances,Noon
"Fresh Meat kibbeh, 700 watts, 2 liters, anti-break, from Fresh","1,500",4.3393,No Image,No Image,home appliances,Noon
LumaBella Luma Bella LB-56015 2 Liter 400 Watt Stainless Steel Food Chopper,715,5.01,https://f.nooncdn.com/p/pzsku/Z99DD8E6C71BB3DA20C9DZ/45/1764617694/d542a28a-dffa-4a2b-95e5-99b427ccc24c.jpg?width=800,product_images/LumaBella Luma Bella LB56015 2 Liter 400 Watt Stai.jpg,home appliances,Noon
BLACK+DECKER Garment Steamer 1500W 260.0 ml 1500.0 W HST1500-B5 Clear/Purple,"2,900",3.533,https://f.nooncdn.com/p/v1616177072/N30982084A_1.jpg?width=800,product_images/BLACKDECKER Garment Steamer 1500W 2600 ml 15000 W .jpg,home appliances,Noon
KENWOOD Air fryer HDM80.000SS 7 L 1800 W HFM80.000SS Silver/Black,"7,500",4.443,https://f.nooncdn.com/p/v1680257151/N53398123A_1.jpg?width=800,product_images/KENWOOD Air fryer HDM80000SS 7 L 1800 W HFM80000SS.jpg,home appliances,Noon
"Philips 3000 Series Blender, Smooth blends with no lumps in 45 seconds 1.9 L 450 W HR2041/10 White","2,799",4.3434,https://f.nooncdn.com/p/pnsku/N52756248A/45/_/1764241729/75986452-7958-4f7f-a663-90ead34bf577.jpg?width=800,product_images/Philips 3000 Series Blender Smooth blends with no .jpg,home appliances,Noon
Beko NeoFrost Top Freezer Refrigerator - 406 Liters - ProSmart Inverter Motor - Harvest Fresh Technology - Dairy Compartment - Digital Touch Control Tact Display RDNE455M20XBIDS Silver ( Prinpia),"27,299",5.03,https://f.nooncdn.com/p/pnsku/N70112109V/45/_/1726631464/d68d406d-cca8-4099-86f2-78b74ba6f461.jpg?width=800,product_images/Beko NeoFrost Top Freezer Refrigerator  406 Liters.jpg,home appliances,Noon
MIENTA Pratico Chopper 450W,"1,194",5.04,https://f.nooncdn.com/p/pzsku/Z46234BC622CACA88FB55Z/45/1754300204/1931031a-ec08-4ddf-9d3d-ec1d49ef0582.jpg?width=800,product_images/MIENTA Pratico Chopper 450W.jpg,home appliances,Noon
Oraimo Infiwave Lite Low Noise Operation Inverter Microwave 20 L 700 W OMO-221A Graphite Grey,"5,049",0.0,https://f.nooncdn.com/p/pnsku/N70284897V/45/_/1770029520/c3bcb96f-0ebe-4e8f-8a33-e12388ddc523.jpg?width=800,product_images/Oraimo Infiwave Lite Low Noise Operation Inverter .jpg,home appliances,Noon
"Tefal Pro Style Garment Steamer, 1700 W IT3420EG - Black/Beige 1.5 L 1700 W IT3420EG black","6,599",1.84,https://f.nooncdn.com/p/pnsku/N70063931V/45/_/1713771059/fb102025-3b8c-4c40-bdcb-d8c6cb2102dc.jpg?width=800,product_images/Tefal Pro Style Garment Steamer 1700 W IT3420EG  B.jpg,home appliances,Noon
Panasonic Steam Iron 2 L 2200 W NI-JW660T-PTV White/Pink,"3,199",5.016,https://f.nooncdn.com/p/v1623426354/N46938993A_1.jpg?width=800,product_images/Panasonic Steam Iron 2 L 2200 W NIJW660TPTV WhiteP.jpg,home appliances,Noon
Philips Egg Cooker 3000 Series 400 W HD9137/91 Deep Black,"2,310",4.6113,https://f.nooncdn.com/p/pnsku/N70068039V/45/_/1716319196/1fd54e46-512d-491c-8d94-a4df4a3d8722.jpg?width=800,product_images/Philips Egg Cooker 3000 Series 400 W HD913791 Deep.jpg,home appliances,Noon
"Bergen Water Dispenser with refrigerator, three tabs Hot, Cold and normal – BYB538 (Silver)","9,950",0.0,https://f.nooncdn.com/p/pzsku/Z250DAE2EF9DC265280DCZ/45/1752851067/eefa1533-875d-4871-9869-92650bc6ad98.jpg?width=800,product_images/Bergen Water Dispenser with refrigerator three tab.jpg,home appliances,Noon
Philips Series 5000 Steam Iron 320 ml 2400 W DST5010/16 Grey/White,"3,499",4.5566,https://f.nooncdn.com/p/v1636031927/N51681045A_1.jpg?width=800,product_images/Philips Series 5000 Steam Iron 320 ml 2400 W DST50.jpg,home appliances,Noon
"BLACK+DECKER Twin Pole Garment Steamer, Fast Heating, 35g/min Steam Rate, 6 Steam Levels, Stainless Steel Head, Auto Cut-Off,Extended Steaming Capacity, 1.5 L 2400 W GST2400-B5 White/Gold","5,999",4.1278,https://f.nooncdn.com/p/pnsku/N53331418A/45/_/1767607889/2fcc31d4-d8f9-498e-a588-13d01ef4c104.jpg?width=800,product_images/BLACKDECKER Twin Pole Garment Steamer Fast Heating.jpg,home appliances,Noon
"Toshiba Refrigerator, Pure Bio Filter, Tropical Compressor, Electronic Temperature Control, 338L  - GR-RT468WE-DMN(49) Lixiue Grey","19,649",3.823,https://f.nooncdn.com/p/pnsku/N70016875V/45/_/1767607855/ce1257e7-69aa-4b59-ab3e-e6d94048ab52.jpg?width=800,product_images/Toshiba Refrigerator Pure Bio Filter Tropical Comp.jpg,home appliances,Noon
Luma Bella Luma-Bella Chopper Grinder Stainless Steel  2 Liter 2 Speed ​​800 Watt LB-56008,825,4.52,https://f.nooncdn.com/p/pzsku/Z52D0076FD559AE075BBBZ/45/1763377078/0de3abc3-9d09-47b8-823e-fedb53770500.jpg?width=800,product_images/Luma Bella LumaBella Chopper Grinder Stainless Ste.jpg,home appliances,Noon
"KENWOOD Steam iron, Non Stick Soleplate, Self Clean Function, Water Spray, 120G Steam Shot 250 ml 2000 W STP40.000WP White","1,229",4.0473,https://f.nooncdn.com/p/pnsku/N41112606A/45/_/1766380592/a2ed185b-9266-429f-9e53-162ed3edfbd4.jpg?width=800,product_images/KENWOOD Steam iron Non Stick Soleplate Self Clean .jpg,home appliances,Noon
smeg 50's Retro Style Toaster 1500W 4 Slices 1500.0 W TSF02BLUK Black/Silver,"14,850",0.0,https://f.nooncdn.com/p/pzsku/ZA823705A1297AB827608Z/45/_/1773225687/8845ebb6-145a-4daa-9793-22496eb3bd3f.jpg?width=800,product_images/smeg 50s Retro Style Toaster 1500W 4 Slices 15000 .jpg,home appliances,Noon
"KENWOOD Health Grill, Variable Temperature Control, Adjustable Grill Positions, 180 Degree Opening Grill, Oven Grill, Timer 2000 W HGM80.000SS Silver","4,199",4.566,https://f.nooncdn.com/p/v1668695015/N48624854A_1.jpg?width=800,product_images/KENWOOD Health Grill Variable Temperature Control .jpg,home appliances,Noon
Swiss Pro+ Air Fryer without Fat - Stainless Steel Silver Black - 5L- 1450W,"3,899",0.0,https://f.nooncdn.com/p/pzsku/Z7E6E05A9BD5039A04F6CZ/45/_/1740672225/95a421a3-0d0a-4408-bd12-d43c44182c62.jpg?width=800,product_images/Swiss Pro Air Fryer without Fat  Stainless Steel S.jpg,home appliances,Noon
Ariston DGI 6L DF Natural Gas Water Heater DGI 6L DF NG White,"3,980",4.4296,https://f.nooncdn.com/p/v1671543747/N24948235A_1.jpg?width=800,product_images/Ariston DGI 6L DF Natural Gas Water Heater DGI 6L .jpg,home appliances,Noon
"Arshia 16 in 1 Multi-Function Halogen Air Fryer, 6.5L Capacity with Digital Display","7,650",0.0,https://f.nooncdn.com/p/pzsku/Z95676215663D3B21C56EZ/45/1747125561/8a8788df-d359-4d0d-b953-fc5eed541ad5.jpg?width=800,product_images/Arshia 16 in 1 MultiFunction Halogen Air Fryer 65L.jpg,home appliances,Noon
Luma Bella Luma-Bella Chopper Grinder Stainless Steel  2 Liter ​​4 Weapons 500 Watt LB-56001,549,0.0,https://f.nooncdn.com/p/pzsku/Z1F9559497333EB1A9D32Z/45/1755093606/c330d17d-fa63-40e5-8c2d-2ea7ac4c2ad8.jpg?width=800,product_images/Luma Bella LumaBella Chopper Grinder Stainless Ste.jpg,home appliances,Noon
KENWOOD Food Processor 3.0 L 1000.0 W FDP65.880SI-s Silver,"8,399",3.710,https://f.nooncdn.com/p/v1613825589/N44412724A_1.jpg?width=800,product_images/KENWOOD Food Processor 30 L 10000 W FDP65880SIs Si.jpg,home appliances,Noon
Swiss Pro+ Digital Air Fryer - Stainless Steel - See Through Window Black & Gold - 5L- 1500W SP-AF5L.FB,"2,999",4.63,https://f.nooncdn.com/p/pzsku/ZEBD120284AB36162DCBCZ/45/1750695206/158f87fa-f5c4-417a-aece-cf94a1f52a26.jpg?width=800,product_images/Swiss Pro Digital Air Fryer  Stainless Steel  See .jpg,home appliances,Noon
HITACHI Unique Design Vacuum Cleaner 21 L 2200 W CV-960F SS220 Black,"9,000",4.561,https://f.nooncdn.com/p/v1667393577/N37845101A_1.jpg?width=800,product_images/HITACHI Unique Design Vacuum Cleaner 21 L 2200 W C.jpg,home appliances,Noon
CITY 7-in-1 multi-use sandwich and waffle maker,"2,249",4.84,https://f.nooncdn.com/p/pzsku/Z60B595757FB194CF3940Z/45/1767808709/691339cd-61c8-483d-a65a-6b6d0de221fa.jpg?width=800,product_images/CITY 7in1 multiuse sandwich and waffle maker.jpg,home appliances,Noon
UNIONAIRE Refrigerator Digital UR-350BGNA-C10 Black,"19,500",5.02,https://f.nooncdn.com/p/v1617119133/N45962060A_1.jpg?width=800,product_images/UNIONAIRE Refrigerator Digital UR350BGNAC10 Black.jpg,home appliances,Noon
Toshiba No Frost Digital Deep Freezer Upright 7 Drawers 238L 150 W GR-RU312WE-DMN(37H) Satin Grey,"27,899",4.836,https://f.nooncdn.com/p/pnsku/N70113018V/45/_/1767608055/60ace287-c545-47f4-a728-a234a48fbad6.jpg?width=800,product_images/Toshiba No Frost Digital Deep Freezer Upright 7 Dr.jpg,home appliances,Noon
Haier Refrigerator 4 Doors (Bottom freezer) -Humidity & Dry zone - TWIN-Inverter - ABT Filter - Super Cool & Super Frez - 502 L- Silver Metal Door - HRF-550TDPD Platinum Inox,"58,490",5.02,https://f.nooncdn.com/p/pnsku/N70102483V/45/_/1760874268/92501061-2d0f-4aa7-9788-f8cfc9a18a0c.jpg?width=800,product_images/Haier Refrigerator 4 Doors Bottom freezer Humidity.jpg,home appliances,Noon
