name,price,rating,image_url,image_path,source
"HP ZBook 17 G3 Laptop, Intel Core i7-6820HQ, 512GB SSD, 16GB RAM, NVIDIA Quadro M2000M 4GB, 17.3 Inch FHD Display, Windows 10 Pro - Black (Renewed), Grade A, 6 Months Warranty Black","20,745",0.0,https://f.nooncdn.com/p/pnsku/N70248152V/45/_/1760530312/6bc7461e-b261-447f-acae-1a970218aa84.jpg?width=800,product_images/HP ZBook 17 G3 Laptop Intel Core i76820HQ 512GB SS.jpg,Noon
"HP (Upgraded Version) ProBook 440 G10 Laptop With 14-Inch Display, Core i5-1340P Processor/16GB RAM/1TB SSD/Intel UHD Graphics/Windows 11 Home English Silver","67,000",0.0,https://f.nooncdn.com/p/pnsku/N70099359V/45/_/1723091593/fe57d8b1-1e01-4a3e-bf17-5c9d79a8ac56.jpg?width=800,product_images/HP Upgraded Version ProBook 440 G10 Laptop With 14.jpg,Noon
HP Victus 15-fa1043 nia Laptop with 15.6 inch FHD / Intel Core i5-13500H / 8 GB RAM / 512 GB SSD / NVIDIA GeForce RTX 3050 / English/ DOS //Mica Silver English Mica Silver,"45,061",0.0,https://f.nooncdn.com/p/pnsku/N70250850V/45/_/1761224076/88fbbcbf-6d25-4bad-9ccf-07c2506b8c0a.jpg?width=800,product_images/HP Victus 15fa1043 nia Laptop with 156 inch FHD  I.jpg,Noon
"DELL Latitude E5470 HD Business Laptop With 14-Inch Display, Core i5-6300U Processor/8GB RAM/256GB SSD/Integrated Graphics/Windows 10 Pro English Black","11,340",0.0,https://f.nooncdn.com/p/v1691308873/N53426191A_1.jpg?width=800,product_images/DELL Latitude E5470 HD Business Laptop With 14Inch.jpg,Noon
"HP ProBook 440 G6 With 14-Inch Display, Core i7 Processor/8GB RAM/1TB HDD/Integrated Graphics Silver","22,780",0.0,https://f.nooncdn.com/p/v1600783033/N38929882A_1.jpg?width=800,product_images/HP ProBook 440 G6 With 14Inch Display Core i7 Proc.jpg,Noon
"ASUS (Upgraded Version) ROG Strix G16 G614JV-IS96 Gaming Laptop With 16-Inch 165Hz Display, Core i9-13980HX Processor/32GB RAM/1TB SSD/8GB Nvidia GeForce RTX 4060 Graphics Card/Windows 11 English Grey","160,525",4.353,https://f.nooncdn.com/p/pnsku/N70051952V/45/_/1741620980/61816273-9857-4946-a6be-d9d3863d7672.jpg?width=800,product_images/ASUS Upgraded Version ROG Strix G16 G614JVIS96 Gam.jpg,Noon
"HP (Upgraded Version) EliteBook 640 G10 Laptop With 14-Inch FHD IPS Display,Core i5-1335U Processor/16GB RAM/512GB SSD/Windows 11 Pro/8A5A8EA#BH5  Pike  Aluminum English Pike Silver Aluminum","62,000",0.0,https://f.nooncdn.com/p/pnsku/N70108614V/45/_/1725981182/85e1cf2c-b89c-4b41-bf18-d0bea9dca18b.jpg?width=800,product_images/HP Upgraded Version EliteBook 640 G10 Laptop With .jpg,Noon
HP (Upgraded Version) HP ProBook 440 G8 – Core i5-1135G7 – 4G RAM – 256 SSD - 14 inch - intel HD graphics 620 - Silver English/Arabic Silver English/Arabic Silver,"55,000",0.0,https://f.nooncdn.com/p/v1685705632/N53410784A_1.jpg?width=800,product_images/HP Upgraded Version HP ProBook 440 G8  Core i51135.jpg,Noon
HP NB Victus Gaming 16–R1049 CORI7 14700HX /16G/1TBSSD/RTX4060/16.1 144HZ BLUE English/Arabic Blue,"66,999",0.0,https://f.nooncdn.com/p/pnsku/N70108696V/45/_/1725951326/d41f41b2-49d5-4aa1-9d2c-87bed3491dfa.jpg?width=800,product_images/HP NB Victus Gaming 16R1049 CORI7 14700HX 16G1TBSS.jpg,Noon
"DELL Refurbished - Latitude 7390  Laptop, 13.3-Inch FHD Touch Display,Intel Core i5-8350U Upto 3.6GHz, 8Gb Ram, 256Gb Ssd, DisplayPort Via USB-C, HDMI, Qualcomm WWAN, Wi-Fi, Bluetooth, Windows 10 Pro English Black","26,262",0.0,https://f.nooncdn.com/p/pnsku/N70020997V/45/_/1751460657/14743aea-5b1d-4be3-835f-2e494af66862.jpg?width=800,product_images/DELL Refurbished  Latitude 7390  Laptop 133Inch FH.jpg,Noon
